C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
5913|TYC 5493-11-1                                                         |High Proper Motion Star        |10 17 51.9689965128 -10 08 11.274734652|252.6807835764538 +37.3302372275737|  -72.002 6.864   |10.94    |~              |    ~     ~    
5914|TYC 5493-424-1                                                        |Star                           |10 20 44.0942143032 -12 23 06.556385760|255.2419693681659 +36.1723537590380| -7.811 -11.228   |10.846   |~              |    ~     ~    
5915|TYC 5493-889-1                                                        |Star                           |10 18 37.2241892856 -11 43 20.759395836|254.2136088510529 +36.3084712224821|       0.0 -5.7   |10.27    |~              |    ~     ~    
5916|HD 90026                                                              |Star                           |10 23 08.8644503448 -15 38 56.896547712|258.4174159807427 +34.1094447640906|  -23.253 4.211   |10.14    |F7/G0          |    ~     ~    
5917|TYC 6061-927-1                                                        |Spectroscopic Binary           |10 24 07.5383111208 -16 06 05.583292236|258.9863648062562 +33.9156472812798| -42.646 28.712   |10.915   |~              |    ~     ~    
5918|TYC 6064-995-1                                                        |Star                           |10 21 17.9930182824 -17 00 04.820960988|259.0597343512586 +32.7911891985979|   -9.517 2.604   |10.995   |~              |    ~     ~    
5919|TYC 6065-783-1                                                        |Star                           |10 27 44.4698224176 -18 37 51.610013220|261.6939739883122 +32.4976327804171|  -7.206 -2.681   |10.418   |~              |    ~     ~    
5920|TYC 6072-504-1                                                        |Star                           |10 19 36.3464824584 -21 44 47.595964416|262.2093995983327 +28.8709448389780|  -40.879 6.722   |10.558   |~              |    ~     ~    
5921|TYC 6619-230-1                                                        |Star                           |10 27 29.6679069336 -23 09 24.733468512|264.8410453738884 +28.8689620948980|-17.858 -18.863   |10.673   |~              |    ~     ~    
5922|TYC 6619-626-1                                                        |Star                           |10 25 41.6593946928 -22 33 02.173296888|264.0455553352846 +29.1042208427064| -7.383 -48.168   |10.84    |~              |    ~     ~    
5923|TYC 6620-254-1                                                        |Star                           |10 29 45.6912543648 -23 21 13.131254988|265.4534117345443 +29.0196429688470|  -4.630 -3.666   |10.897   |~              |    ~     ~    
5924|TYC 6623-1097-1                                                       |Star                           |10 25 44.0642848344 -25 34 55.393946112|266.1055664957450 +26.6802115727629|  -5.702 -3.560   |10.885   |~              |    ~     ~    
5925|TYC 6623-1154-1                                                       |Star                           |10 20 22.3555256760 -25 33 04.711733784|265.0045904791237 +25.9806053868003| -12.973 -1.806   |10.794   |~              |    ~     ~    
5926|TYC 6623-1411-1                                                       |Star                           |10 21 32.4273663336 -25 49 58.013843556|265.4268717190947 +25.9152749886508|  2.879 -10.194   |10.868   |~              |    ~     ~    
5927|TYC 6624-415-1                                                        |Star                           |10 29 39.9614893728 -25 07 51.135727980|266.6161585407939 +27.5667607805867|  -6.189 -2.429   |10.697   |~              |    ~     ~    
5928|GSC 08612-01237                                                       |Classical Cepheid Variable     |10 20 11.7942805968 -59 00 16.277853996|284.5208019597477 -01.6492991012864|   -6.206 3.335   |10.961   |~              |    ~     ~    
5929|HD 90885A                                                             |High Proper Motion Star        |10 28 18.5231107680 -52 33 42.009788952|282.0463993710695 +04.4076911105372|-102.189 53.004   |8.35     |K0.5V(k)       |    ~     ~    
5930|CD-58 3153p                                                           |Star                           |10 18 09.1157147088 -58 39 49.635451692|284.1124913032406 -01.5097103882731|   8.133 -0.583   |10.21    |~              |    ~     ~    
5931|TYC 8608-294-1                                                        |Star                           |10 23 21.3291587520 -57 42 00.864305712|284.1638683605277 -00.3281544388248|   2.506 -1.538   |10.71    |~              |    ~     ~    
5932|ASAS J101909-3423.0                                                   |Eclipsing Binary               |10 19 08.6525900616 -34 23 03.237894780|270.4321580382916 +18.7043876430564| -22.428 14.523   |10.68    |G0/4:V+K5/2:V  |    ~     ~    
5933|TYC 8608-156-1                                                        |Star                           |10 26 11.0825073024 -57 31 44.193973620|284.3937377895069 +00.0182872102927|  -13.849 5.549   |10.93    |~              |    ~     ~    
5934|TYC 8956-4181-1                                                       |Star                           |10 27 26.0177979000 -61 26 48.308323308|286.5880489155234 -03.2319968159166|   8.464 -7.449   |9.530    |~              |    ~     ~    
5935|HD 89393                                                              |Star                           |10 18 06.4443346442 -40 14 21.803631596|273.7554019927200 +13.7897305194913|   0.730 -6.004   |8.22     |ApSrCrEu       |    ~     ~    
5936|HD 307727A                                                            |High Proper Motion Star        |10 26 47.5516296487 -62 54 09.268611080|287.2908306779207 -04.5100349879974|-290.302 -351.381 |9.91     |K6+V(k)        |    ~     ~    
5937|TYC 6064-1017-1                                                       |Star                           |10 16 24.7594289760 -17 09 31.883222052|258.1312571141759 +31.9116158908074|   -7.999 1.133   |10.987   |~              |    ~     ~    
5938|TYC 6068-299-1                                                        |Star                           |10 17 31.2283318824 -19 48 40.462365672|260.3698075955337 +30.0617419557959|  -43.324 7.669   |10.943   |~              |    ~     ~    
5939|TYC 6060-533-1                                                        |Star                           |10 20 30.3684793296 -16 48 23.288681412|258.7375160390404 +32.8170970715933|   -8.185 1.708   |10.993   |~              |    ~     ~    
5940|TYC 6060-247-1                                                        |Star                           |10 21 18.9074215536 -15 17 41.681751648|257.7341743720712 +34.0906296195318|  -1.731 -1.606   |10.898   |~              |    ~     ~    
